2021-01-07,"Systematic Review #LongCovid 

Range of  heart, lung, gastrointestinal, neurological &amp; psychosocial symptoms.

Commonest are: 
breathlessness
fatigue
smell and taste disturbance
anxiety. 

Persistent symptoms in hospitalised &amp; non-hospitalised patients

https://t.co/tPIV5UnlSA https://t.co/gfvacAO2Gy"
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,"📢 Are you or is anyone you know living with Long Covid? 

Next week the APPG on Coronavirus will hear evidence from those living with long covid. 

We want to hear as many of your experiences as possible. Please submit evidence &amp; share here: 
#longcovid
https://t.co/kP6vQMLS6z"
2021-01-07,"Are you suffering from #LongTermCovid?

@Survivor_Corps's website has a map where you can click on your state to find the Post-Covid Care Center (PCCC) near you.

Because surviving Covid doesn't mean recovering from Covid. #LongCovid #MedTwitter #COVID19
https://t.co/IvizkaXRQ6"
2021-01-07,"@trifan_tatiana It's a very interesting finding that may contribute to develop better management strategies. 
Even though they don't mention #LongCovid we have to admit the symptom similarities are striking!"
2021-01-07,"Are you suffering from #LongTermCovid?

@Survivor_Corps's website has a map where you can click on your state to find the Post-Covid Care Center (PCCC) near you.

Because surviving Covid doesn't mean recovering from Covid. #LongCovid #MedTwitter #COVID19
https://t.co/IvizkaXRQ6"
2021-01-07,@bobbie_cal Sorry to hear you are still not 100% Bobbie... #LongCovid sounds awful 💞 hope you get well soon
2021-01-07,"First clinical trial on potential drug for #LongCovid starts in NC aiming to ""restructure the immune system” to address pain, problems thinking and concentrating and troubles with sleeping and breathing

https://t.co/qN2t3ejlDB"
2021-01-07,"Prof Iwasaki @VirusesImmunity
and team discuss autoantibodies in #COVID19 

Autoantibodies attacking human tissues instead of pathogens, might contribute to long term covid symptoms and sequelae ⏩ #LongCovid 

#LongCovidItalia #apresJ20 #koronaoire 

https://t.co/xnNiPC7lRV"
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,CDC announces new classification codes for covid and #longcovid. This is a big deal. https://t.co/lbU6o1vJGw
2021-01-07,"Aside from the *pesky booooring inconvenience* that there is always the possibility of getting #LongCovid — even if you are perfection personified. 

What is the definition of 'vulnerable' in this #coronavirus pandemic? Who is vulnerable? Who is at risk? 

#COVID19 #SARSCoV2 https://t.co/rgVijJOYSj"
2021-01-07,"#LongCovid and auto-antibodies.

My wife was diagnosed one auto antibody last summer as a sequelae of #COVID19.

A control has been made this week and this auto antibody has disappeared completely. 👍👍👍"
2021-01-07,"As #exhausted as I am from this #LongCovid #illness I could not rest without seeing with my own eyes the #certification process, and hear for myself the words the #traitors used to try to justify their wanton attacks on our democratic process."
2021-01-07,"Are you suffering from #LongTermCovid?

@Survivor_Corps's website has a map where you can click on your state to find the Post-Covid Care Center (PCCC) near you.

Because surviving Covid doesn't mean recovering from Covid. #LongCovid #MedTwitter #COVID19
https://t.co/IvizkaXRQ6"
2021-01-07,"#2021goals raising awareness of #Pans #Pandas 💚 #panspandashour @katesilverton more coverage is needed in the media, a condition that all parents need to know the symptoms of #neurology #LongCovid https://t.co/6oY8skmRR2"
2021-01-07,Our Thursday's Thought for #PTs &amp; #OTs working with #MECFS #LongCovid pts &amp; those w comorbid conditions #POTS #hEDS #Fibromyalgia https://t.co/QnCZrQDes4
2021-01-07,"#LongCovid and auto-antibodies.

My wife was diagnosed one auto antibody last summer as a sequelae of #COVID19.

A control has been made this week and this auto antibody has disappeared completely. 👍👍👍"
2021-01-07,"#2021goals raising awareness of #Pans #Pandas 💚 #panspandashour @katesilverton more coverage is needed in the media, a condition that all parents need to know the symptoms of #neurology #LongCovid https://t.co/6oY8skmRR2"
2021-01-07,"Are you suffering from #LongTermCovid?

@Survivor_Corps's website has a map where you can click on your state to find the Post-Covid Care Center (PCCC) near you.

Because surviving Covid doesn't mean recovering from Covid. #LongCovid #MedTwitter #COVID19
https://t.co/IvizkaXRQ6"
2021-01-07,"#LongCovid and auto-antibodies.

My wife was diagnosed one auto antibody last summer as a sequelae of #COVID19.

A control has been made this week and this auto antibody has disappeared completely. 👍👍👍"
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,Some good new on therapeutics for acute #COVID19 - hope we find similar to prevent and treat #LongCovid soon https://t.co/TIhjVjPqXI
2021-01-07,"“Mum with long Covid ""can't get off the couch"" after catching disease twice”

Lisa Royle, 44, is speaking out about the ""very real effects"" of the deadly bug after two bouts of the disease left her with severe symptoms.

| #LongCovid | @long_covid | 

https://t.co/isjW9V6gGk"
2021-01-07,I wonder if #LongCovid will qualify for the 6th category: “All individuals aged 16 years to 64 years with underlying health conditions which put them at higher risk of serious disease and mortality”. https://t.co/IMcD2kKXPc
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,"“Mum with long Covid ""can't get off the couch"" after catching disease twice”

Lisa Royle, 44, is speaking out about the ""very real effects"" of the deadly bug after two bouts of the disease left her with severe symptoms.

| #LongCovid | @long_covid | 

https://t.co/isjW9V6gGk"
2021-01-07,"#LongCovid and auto-antibodies.

My wife was diagnosed one auto antibody last summer as a sequelae of #COVID19.

A control has been made this week and this auto antibody has disappeared completely. 👍👍👍"
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,"#PostCovidSyndrome #forgottenvictimscovid19 #longhaulers #LongCovid #LongCovidKids  We will be in attendance at the Parliamentary debate on long haul covid. 
Facebook, global community website, treatment for long haul covid, represent the 150, 000 patients in the UK &amp; beyond."
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,"That's what we've been saying, now openly discussed on a Swiss TV show. As vaccination proceeds, measures will be loosened fast, since there will be room in hospitals.

Which means that almost everyone will be infected this year. Few will die, that's true. But mass #LongCovid https://t.co/VzPZ0vwuQi"
2021-01-07,"#2021goals raising awareness of #Pans #Pandas 💚 #panspandashour @katesilverton more coverage is needed in the media, a condition that all parents need to know the symptoms of #neurology #LongCovid https://t.co/6oY8skmRR2"
2021-01-07,"#2021goals raising awareness of #Pans #Pandas 💚 #panspandashour @katesilverton more coverage is needed in the media, a condition that all parents need to know the symptoms of #neurology #LongCovid https://t.co/6oY8skmRR2"
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,"#2021goals raising awareness of #Pans #Pandas 💚 #panspandashour @katesilverton more coverage is needed in the media, a condition that all parents need to know the symptoms of #neurology #LongCovid https://t.co/6oY8skmRR2"
2021-01-07,Not quantifying covid morbidity &amp; not measuring #LongCovid means it can be still be ignored in pandemic response policy. ‘Opening up’ after vaccinating the ‘vulnerable’ means many unvaccinated will get sick. How many? We won’t know because the system is not set up to count them.
2021-01-07,"A Backbench Business debate on Long Covid has been secured for this coming Thursday (14th). 

As a result, this coming Tuesday (12th) we will be hosting a special APPG meeting on Coronavirus and Long Covid. 

#LongCovid"
